cidade,ano,mes,dia,data,volume,data_importacao
Goiânia,2024,10,30,2024-10-30,15.2,2024/11/29
Goiânia,2024,10,31,2024-10-31,24.2,2024/11/29
Porangatu,2024,1,1,2024-01-01 00:00:00,24.0,2024/11/29
Porangatu,2024,1,2,2024-01-02 00:00:00,3.2,2024/11/29
Porangatu,2024,1,3,2024-01-03 00:00:00,45.2,2024/11/29
Porangatu,2024,1,4,2024-01-04 00:00:00,22.4,2024/11/29
Porangatu,2024,1,5,2024-01-05 00:00:00,17.2,2024/11/29
Porangatu,2024,1,6,2024-01-06 00:00:00,1.2,2024/11/29
Porangatu,2024,1,7,2024-01-07 00:00:00,7.199999999999999,2024/11/29
Porangatu,2024,1,8,2024-01-08 00:00:00,31.6,2024/11/29
Porangatu,2024,1,9,2024-01-09 00:00:00,0.0,2024/11/29
Porangatu,2024,1,10,2024-01-10 00:00:00,25.0,2024/11/29
Porangatu,2024,1,11,2024-01-11 00:00:00,0.2,2024/11/29
Porangatu,2024,1,12,2024-01-12 00:00:00,0.0,2024/11/29
Porangatu,2024,1,13,2024-01-13 00:00:00,0.0,2024/11/29
Porangatu,2024,1,14,2024-01-14 00:00:00,6.6000000000000005,2024/11/29
Porangatu,2024,1,15,2024-01-15 00:00:00,0.2,2024/11/29
Porangatu,2024,1,16,2024-01-16 00:00:00,0.0,2024/11/29
Porangatu,2024,1,17,2024-01-17 00:00:00,8.799999999999999,2024/11/29
Porangatu,2024,1,18,2024-01-18 00:00:00,3.8,2024/11/29
Porangatu,2024,1,19,2024-01-19 00:00:00,0.0,2024/11/29
Porangatu,2024,1,20,2024-01-20 00:00:00,0.0,2024/11/29
Porangatu,2024,1,21,2024-01-21 00:00:00,0.0,2024/11/29
Porangatu,2024,1,22,2024-01-22 00:00:00,3.0,2024/11/29
Porangatu,2024,1,23,2024-01-23 00:00:00,50.4,2024/11/29
Porangatu,2024,1,24,2024-01-24 00:00:00,41.8,2024/11/29
Porangatu,2024,1,25,2024-01-25 00:00:00,27.6,2024/11/29
Porangatu,2024,1,26,2024-01-26 00:00:00,2.6,2024/11/29
Porangatu,2024,1,27,2024-01-27 00:00:00,96.0,2024/11/29
Porangatu,2024,1,28,2024-01-28 00:00:00,2.2,2024/11/29
Porangatu,2024,1,29,2024-01-29 00:00:00,7.0,2024/11/29
Porangatu,2024,1,30,2024-01-30 00:00:00,1.6,2024/11/29
Porangatu,2024,1,31,2024-01-31 00:00:00,0.0,2024/11/29
Porangatu,2024,2,1,2024-02-01 00:00:00,1.0,2024/11/29
Porangatu,2024,2,2,2024-02-02 00:00:00,2.4,2024/11/29
Porangatu,2024,2,3,2024-02-03 00:00:00,17.8,2024/11/29
Porangatu,2024,2,4,2024-02-04 00:00:00,0.6000000000000001,2024/11/29
Porangatu,2024,2,5,2024-02-05 00:00:00,0.0,2024/11/29
Porangatu,2024,2,6,2024-02-06 00:00:00,13.2,2024/11/29
Porangatu,2024,2,7,2024-02-07 00:00:00,0.2,2024/11/29
Porangatu,2024,2,8,2024-02-08 00:00:00,0.2,2024/11/29
Porangatu,2024,2,9,2024-02-09 00:00:00,0.0,2024/11/29
Porangatu,2024,2,10,2024-02-10 00:00:00,26.2,2024/11/29
Porangatu,2024,2,11,2024-02-11 00:00:00,6.6,2024/11/29
Porangatu,2024,2,12,2024-02-12 00:00:00,0.0,2024/11/29
Porangatu,2024,2,13,2024-02-13 00:00:00,0.0,2024/11/29
Porangatu,2024,2,14,2024-02-14 00:00:00,0.0,2024/11/29
Porangatu,2024,2,15,2024-02-15 00:00:00,0.0,2024/11/29
Porangatu,2024,2,16,2024-02-16 00:00:00,0.0,2024/11/29
Porangatu,2024,2,17,2024-02-17 00:00:00,2.4,2024/11/29
Porangatu,2024,2,18,2024-02-18 00:00:00,0.6000000000000001,2024/11/29
Porangatu,2024,2,19,2024-02-19 00:00:00,6.0,2024/11/29
Porangatu,2024,2,20,2024-02-20 00:00:00,16.0,2024/11/29
Porangatu,2024,2,21,2024-02-21 00:00:00,82.8,2024/11/29
